state_code,state_name,sex,age,mx,qx,lx,dx,Lx,Tx,ex
0,República Mexicana,female,47,0.002576609913,0.002573294724,94795.80811,243.9375529,94673.83933,3284889.755,34.65226807
0,República Mexicana,female,48,0.002791810374,0.002787918704,94551.87055,263.6029284,94420.06909,3190215.915,33.74037866
0,República Mexicana,female,49,0.003028807889,0.003024227986,94288.26763,285.1492177,94145.69302,3095795.846,32.83330922
0,República Mexicana,female,50,0.003291632775,0.003286224253,94003.11841,308.9153276,93848.66074,3001650.153,31.93138913
0,República Mexicana,female,51,0.003579850054,0.00357345384,93694.20308,334.8119098,93526.79713,2907801.493,31.03502028
0,República Mexicana,female,52,0.003896860329,0.003889282334,93359.39117,363.1010308,93177.84065,2814274.695,30.14452708
0,República Mexicana,female,53,0.004245724484,0.004236730489,92996.29014,394.0002178,92799.29003,2721096.855,29.26027319
0,República Mexicana,female,54,0.004627317636,0.004616636315,92602.28992,427.5110945,92388.53437,2628297.565,28.38264115
0,República Mexicana,female,55,0.005051704164,0.005038976454,92174.77883,464.4665402,91942.54556,2535909.03,27.51196219
0,República Mexicana,female,56,0.005517635274,0.005502455004,91710.31229,504.6318668,91457.99635,2443966.485,26.64876418
0,República Mexicana,female,57,0.006028216336,0.006010101241,91205.68042,548.1553731,90931.60273,2352508.488,25.79344266
0,República Mexicana,female,58,0.006599698978,0.006577992592,90657.52505,596.3445282,90359.35278,2261576.886,24.94637797
0,República Mexicana,female,59,0.007243102375,0.007216965764,90061.18052,649.9684564,89736.19629,2171217.533,24.10825086
0,República Mexicana,female,60,0.007943552118,0.007912126922,89411.21206,707.4328581,89057.49563,2081481.337,23.27986937
0,República Mexicana,female,61,0.008710991717,0.008673215563,88703.7792,769.3469983,88319.10571,1992423.841,22.46154402
0,República Mexicana,female,62,0.009560276077,0.009514794048,87934.43221,836.6780122,87516.0932,1904104.735,21.65368773
0,República Mexicana,female,63,0.01050658881,0.01045168304,87097.75419,910.3181206,86642.59513,1816588.642,20.85689417
0,República Mexicana,female,64,0.01153550692,0.01146935451,86187.43607,988.5142586,85693.17894,1729946.047,20.07190521
0,República Mexicana,female,65,0.0126681212,0.01258838561,85198.92181,1072.516881,84662.66337,1644252.868,19.29898681
0,República Mexicana,female,66,0.01388743355,0.01379166811,84126.40493,1160.243456,83546.28321,1559590.205,18.53865271
0,República Mexicana,female,67,0.01525976586,0.01514421725,82966.16148,1256.457574,82337.93269,1476043.921,17.79091494
0,República Mexicana,female,68,0.01680828549,0.01666820353,81709.7039,1361.953975,81028.72692,1393705.989,17.05679891
0,República Mexicana,female,69,0.01855271924,0.01838219935,80347.74993,1476.968356,79609.26575,1312677.262,16.33744894
0,República Mexicana,female,70,0.02031752375,0.02011319856,78870.78157,1586.34369,78077.60973,1233067.996,15.63402786
0,República Mexicana,female,71,0.02229004359,0.02204435873,77284.43788,1703.685873,76432.59495,1154990.386,14.94466956
0,República Mexicana,female,72,0.02439338063,0.02409944713,75580.75201,1821.454337,74670.02484,1078557.791,14.27027071
0,República Mexicana,female,73,0.02663904972,0.02628889414,73759.29767,1939.050369,72789.77249,1003887.767,13.61032166
0,República Mexicana,female,74,0.02931354938,0.0288901135,71820.2473,2074.895096,70782.79976,931097.9941,12.96428276
0,República Mexicana,female,75,0.03225485934,0.03174292751,69745.35221,2213.921659,68638.39138,860315.1943,12.33508997
0,República Mexicana,female,76,0.03548792023,0.03486920249,67531.43055,2354.767126,66354.04699,791676.8029,11.72308652
0,República Mexicana,female,77,0.03903338675,0.03828616736,65176.66342,2495.364644,63928.9811,725322.756,11.12856532
0,República Mexicana,female,78,0.04293729305,0.04203486147,62681.29878,2634.799711,61363.89892,661393.7748,10.55169225
0,República Mexicana,female,79,0.04737715748,0.04628083039,60046.49907,2779.001839,58656.99815,600029.8759,9.992753703
0,República Mexicana,female,80,0.05205592655,0.05073538774,57267.49723,2905.488677,55814.75289,541372.8778,9.453405579
0,República Mexicana,female,81,0.0571270512,0.05554061541,54362.00855,3019.29941,52852.35885,485558.1249,8.931938643
0,República Mexicana,female,82,0.06295161018,0.06103062221,51342.70914,3133.477485,49775.9704,432705.766,8.427793805
0,República Mexicana,female,83,0.06927971994,0.06696022705,48209.23166,3228.101098,46595.18111,382929.7956,7.943080246
0,República Mexicana,female,84,0.07620287755,0.07340600322,44981.13056,3301.885014,43330.18805,336334.6145,7.477237907
0,República Mexicana,female,85,0.08379494932,0.08042533105,41679.24555,3352.067121,40003.21198,293004.4265,7.029983932
0,República Mexicana,female,86,0.0921447838,0.08808643122,38327.17842,3376.104366,36639.12624,253001.2145,6.601091573
0,República Mexicana,female,87,0.1012690698,0.09638848375,34951.07406,3368.881034,33266.63354,216362.0883,6.19042745
0,República Mexicana,female,88,0.1112219141,0.1053625991,31582.19302,3327.581942,29918.40205,183095.4547,5.797426878
0,República Mexicana,female,89,0.1223671559,0.1153119577,28254.61108,3258.094519,26625.56382,153177.0527,5.421311665
0,República Mexicana,female,90,0.1348615213,0.1263421725,24996.51656,3158.114209,23417.45946,126551.4888,5.062764986
0,República Mexicana,female,91,0.1487344212,0.1384390921,21838.40235,3023.288594,20326.75806,103134.0294,4.722599561
0,República Mexicana,female,92,0.1636215488,0.1512478454,18815.11376,2845.745418,17392.24105,82807.27132,4.401103941
0,República Mexicana,female,93,0.1794435858,0.1646691724,15969.36834,2629.662669,14654.53701,65415.03027,4.096281635
0,República Mexicana,female,94,0.1972346678,0.179529907,13339.70567,2394.87612,12142.26761,50760.49326,3.805218383
0,República Mexicana,female,95,0.2170888007,0.195832301,10944.82955,2143.351156,9873.153977,38618.22565,3.528444683
0,República Mexicana,female,96,0.2416759599,0.2156207803,8801.478398,1897.78164,7852.587578,28745.07167,3.26593674
0,República Mexicana,female,97,0.2659585881,0.2347426732,6903.696758,1620.592232,6093.400642,20892.48409,3.026274882
0,República Mexicana,female,98,0.2929278016,0.2555054733,5283.104526,1349.862122,4608.173465,14799.08345,2.801209663
0,República Mexicana,female,99,0.3232533889,0.2782764811,3933.242404,1094.528856,3385.977976,10190.90998,2.590969215
0,República Mexicana,female,100,0.3570127505,0.3029366306,2838.713548,859.9503176,2408.73839,6804.932008,2.397188689
0,República Mexicana,female,101,0.3925488414,0.3281428029,1978.763231,649.3169128,1654.104774,4396.193619,2.221687542
0,República Mexicana,female,102,0.4272915231,0.352072686,1329.446318,468.061736,1095.41545,2742.088844,2.062579592
0,República Mexicana,female,103,0.4619395203,0.3752647183,861.3845819,323.2472425,699.7609607,1646.673394,1.911658775
0,República Mexicana,female,104,0.5031545741,0.4020163831,538.1373394,216.3400268,429.967326,946.9124336,1.759611096
0,República Mexicana,female,105,0.5574572127,0.4359464627,321.7973126,140.2864001,251.6541125,516.9451076,1.606430779
0,República Mexicana,female,106,0.625,0.4761904762,181.5109125,86.43376784,138.2940285,265.2909951,1.4615705
