state_code,state_name,sex,A,B,c,r2_log_mu,rmse_log_mu,age_min,age_max
18,Nayarit,female,0.0006636667691,1.89445805e-05,1.103444989,0.9998176261,0.02013000825,30,90
18,Nayarit,male,0.00378445412,3.10303523e-05,1.096986134,0.9982177732,0.0447485712,30,90
18,Nayarit,total,0.002232039498,2.281491075e-05,1.101046021,0.9990389336,0.03772175665,30,90
19,Nuevo León,female,0.0006382969154,1.60601685e-05,1.103636505,0.9997370843,0.02387749386,30,90
19,Nuevo León,male,0.003431691639,1.722192554e-05,1.10357585,0.9967589533,0.06190255023,30,90
19,Nuevo León,total,0.002108145706,1.498942591e-05,1.104946599,0.998051267,0.05374716036,30,90
20,Oaxaca,female,0.0006821623919,2.280573037e-05,1.103079019,0.9999193956,0.01354492826,30,90
20,Oaxaca,male,0.004487986577,3.942290841e-05,1.095516526,0.9988621044,0.03516606871,30,90
20,Oaxaca,total,0.002471064878,2.812266309e-05,1.100181544,0.9994471248,0.02875516357,30,90
21,Puebla,female,0.0006710657963,2.180918839e-05,1.103173312,0.9998783415,0.01661235101,30,90
21,Puebla,male,0.00429790346,3.714434874e-05,1.095889157,0.9986695171,0.0381982654,30,90
21,Puebla,total,0.002419111722,2.575738022e-05,1.100882,0.999197854,0.03464128928,30,90
22,Querétaro,female,0.0006427184597,1.803734092e-05,1.103435096,0.9998017058,0.02094527862,30,90
22,Querétaro,male,0.00381919147,2.037111475e-05,1.10239522,0.9979184515,0.04904726695,30,90
22,Querétaro,total,0.002234851595,1.733017328e-05,1.104234404,0.9986975731,0.04413842536,30,90
23,Quintana Roo,female,0.0006361452768,1.901567031e-05,1.103217117,0.9998052019,0.02084362853,30,90
23,Quintana Roo,male,0.003793923214,2.553802692e-05,1.099619361,0.9979968004,0.04793883169,30,90
23,Quintana Roo,total,0.002273004768,2.054299268e-05,1.102354962,0.9988627952,0.04104369465,30,90
24,San Luis Potosí,female,0.0006709372054,1.945702903e-05,1.10331544,0.9998604141,0.01760904427,30,90
24,San Luis Potosí,male,0.003910657299,3.105221003e-05,1.097252051,0.9979119634,0.04833830734,30,90
24,San Luis Potosí,total,0.002255533401,2.26772956e-05,1.101385597,0.9988377813,0.04161831493,30,90
25,Sinaloa,female,0.0006501483108,1.805248359e-05,1.103647373,0.9997886738,0.02166219953,30,90
25,Sinaloa,male,0.003739451225,2.50945961e-05,1.099587562,0.9975893304,0.05251052474,30,90
25,Sinaloa,total,0.002214180027,1.961533093e-05,1.10271568,0.9986197704,0.04535079199,30,90
26,Sonora,female,0.000655200511,1.695650111e-05,1.103875083,0.9997912206,0.02142551681,30,90
26,Sonora,male,0.003620315832,2.062251318e-05,1.101820929,0.997281833,0.05626992488,30,90
26,Sonora,total,0.002199367136,1.713059503e-05,1.104008126,0.9984437347,0.04807506726,30,90
27,Tabasco,female,0.0006613028278,2.222013759e-05,1.103139598,0.9998723919,0.01706527508,30,90
27,Tabasco,male,0.004247840534,4.040121171e-05,1.094896413,0.9986065179,0.03913859467,30,90
27,Tabasco,total,0.002383782056,2.861553783e-05,1.099670623,0.9992011982,0.03458595677,30,90
28,Tamaulipas,female,0.0006472895045,1.868804191e-05,1.103416138,0.9998222195,0.01989112051,30,90
28,Tamaulipas,male,0.003758513797,2.817424568e-05,1.098193175,0.9977707862,0.05030185909,30,90
28,Tamaulipas,total,0.002229060013,2.108173262e-05,1.101931309,0.9986851514,0.04418283787,30,90
29,Tlaxcala,female,0.0006675149296,2.15834562e-05,1.103043376,0.9998220964,0.02004154543,30,90
29,Tlaxcala,male,0.004330154058,3.14776052e-05,1.098051607,0.9987763511,0.0368536272,30,90
29,Tlaxcala,total,0.002432284342,2.37724453e-05,1.101794295,0.9991596429,0.03546921299,30,90
30,Veracruz,female,0.0006766970795,2.181412964e-05,1.103390144,0.9998958447,0.01540464018,30,90
30,Veracruz,male,0.004356553913,3.687601827e-05,1.09616362,0.9986589838,0.03839157623,30,90
30,Veracruz,total,0.00242278159,2.644833605e-05,1.100748962,0.9992340888,0.03393400525,30,90
31,Yucatán,female,0.0006602438367,1.993401055e-05,1.103347211,0.9998684706,0.01717834059,30,90
31,Yucatán,male,0.004078133243,2.823524077e-05,1.098825875,0.9984608779,0.04155474164,30,90
31,Yucatán,total,0.002387189314,2.147662924e-05,1.102424891,0.9990467768,0.03759368004,30,90
32,Zacatecas,female,0.0006674571741,2.127780008e-05,1.103033875,0.9999108545,0.01416440839,30,90
32,Zacatecas,male,0.004252312076,3.17209802e-05,1.097750341,0.9986093766,0.039272959,30,90
32,Zacatecas,total,0.00240139,2.45601482e-05,1.101176144,0.999315636,0.03191938259,30,90
