state_code,sex,age,qx_fitted,qx_source
0,male,80,0.05513124696,fitted
0,male,81,0.06003619515,fitted
0,male,82,0.06539583971,fitted
0,male,83,0.07124917638,fitted
0,male,84,0.07763789668,fitted
0,male,85,0.08460643555,fitted
0,male,86,0.09220198478,fitted
0,male,87,0.1004744627,fitted
0,male,88,0.1094764289,fitted
0,male,89,0.1192629311,fitted
0,male,90,0.1298912691,fitted
0,male,91,0.1311590767,raw
0,male,92,0.1416372203,raw
0,male,93,0.1527289028,raw
0,male,94,0.1648868478,raw
0,male,95,0.1775238095,raw
0,male,96,0.1929707929,raw
0,male,97,0.2080877633,raw
0,male,98,0.2248074202,raw
0,male,99,0.2424505757,raw
0,male,100,0.2605493325,raw
0,male,101,0.2787932174,raw
0,male,102,0.2970044614,raw
0,male,103,0.3155946321,raw
0,male,104,0.3362592843,raw
0,male,105,0.3607214429,raw
0,male,106,0.3889739663,raw
0,male,107,0.4174757282,raw
0,male,108,0.448,raw
0,male,109,1,raw
0,total,0,0.01176394275,raw
0,total,1,0.001462605764,raw
0,total,2,0.0005751287079,raw
0,total,3,0.000349846906,raw
0,total,4,0.0002657188723,raw
0,total,5,0.0002252572562,raw
0,total,6,0.0002020914089,raw
0,total,7,0.000192450611,raw
0,total,8,0.0001938630153,raw
0,total,9,0.000204955121,raw
0,total,10,0.0002278191659,raw
0,total,11,0.0002648281944,raw
0,total,12,0.0003210607671,raw
0,total,13,0.0003982999137,raw
0,total,14,0.0004987506056,raw
0,total,15,0.0006212013155,raw
0,total,16,0.0007638144452,raw
0,total,17,0.000922839842,raw
0,total,18,0.001094108977,raw
0,total,19,0.001274387161,raw
0,total,20,0.001457642525,raw
0,total,21,0.001642088888,raw
0,total,22,0.001827924104,raw
0,total,23,0.002009858511,raw
0,total,24,0.002178426844,raw
0,total,25,0.002322562706,raw
0,total,26,0.002448359002,raw
0,total,27,0.002561436788,raw
0,total,28,0.002665083352,raw
0,total,29,0.002757383117,raw
0,total,30,0.002704060113,fitted
0,total,31,0.002744667045,fitted
0,total,32,0.002789428008,fitted
0,total,33,0.002838767737,fitted
0,total,34,0.002893154349,fitted
0,total,35,0.002953103762,fitted
0,total,36,0.003019184566,fitted
0,total,37,0.003092023385,fitted
0,total,38,0.003172310781,fitted
0,total,39,0.003260807758,fitted
0,total,40,0.00335835292,fitted
0,total,41,0.003465870354,fitted
0,total,42,0.003584378299,fitted
0,total,43,0.003714998699,fitted
0,total,44,0.003858967699,fitted
0,total,45,0.004017647208,fitted
0,total,46,0.004192537601,fitted
0,total,47,0.004385291697,fitted
0,total,48,0.004597730121,fitted
0,total,49,0.00483185819,fitted
0,total,50,0.005089884461,fitted
0,total,51,0.005374241102,fitted
0,total,52,0.005687606263,fitted
0,total,53,0.006032928616,fitted
0,total,54,0.006413454275,fitted
0,total,55,0.006832756315,fitted
0,total,56,0.007294767097,fitted
0,total,57,0.007803813681,fitted
0,total,58,0.00836465655,fitted
0,total,59,0.008982531963,fitted
0,total,60,0.009663198197,fitted
0,total,61,0.01041298601,fitted
0,total,62,0.01123885366,fitted
0,total,63,0.01214844671,fitted
0,total,64,0.01315016317,fitted
0,total,65,0.01425322406,fitted
0,total,66,0.01546774989,fitted
0,total,67,0.01680484339,fitted
0,total,68,0.01827667863,fitted
0,total,69,0.01989659697,fitted
0,total,70,0.02167920989,fitted
0,total,71,0.02364050897,fitted
0,total,72,0.02579798282,fitted
0,total,73,0.02817074111,fitted
0,total,74,0.03077964516,fitted
0,total,75,0.03364744463,fitted
0,total,76,0.03679891961,fitted
0,total,77,0.04026102675,fitted
0,total,78,0.0440630479,fitted
0,total,79,0.04823673921,fitted
0,total,80,0.05281647763,fitted
